epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.7374,3.27345,7.02574,3.56308,0.00333,1,0.02668,0.00379,3.18299,7.33135,4.21923,2e-05,2e-05,2e-05
2,17.3112,3.16251,5.98376,3.43736,0.00912,0.66667,0.01803,0.00401,3.06296,7.90754,3.78693,5.8812e-05,5.8812e-05,5.8812e-05
3,23.8416,3.23043,3.83068,3.2922,0.20668,0.66667,0.15703,0.06391,2.4948,18.0645,3.41504,9.604e-05,9.604e-05,9.604e-05
4,30.6095,2.51983,3.96506,2.65999,0.05103,0.33333,0.08064,0.02907,2.27235,12.0907,3.16322,0.000131684,0.000131684,0.000131684
5,37.269,2.59017,3.91355,2.77217,0.11132,0.33333,0.06184,0.0237,2.17039,10.3407,3.19001,0.000165744,0.000165744,0.000165744
6,43.8856,2.42331,3.16158,2.47746,0.11353,0.66667,0.10254,0.0307,2.27669,9.3317,3.33131,0.00019822,0.00019822,0.00019822
7,50.5391,2.2835,2.94933,2.30814,0.1626,0.66667,0.13997,0.03267,2.44628,7.79655,3.42627,0.000229112,0.000229112,0.000229112
8,57.0947,2.01883,3.14829,2.27346,0.49459,0.33333,0.41881,0.15142,2.62968,9.84359,2.99894,0.00025842,0.00025842,0.00025842
9,63.7382,2.07196,2.73214,2.14612,0.30468,0.33333,0.45875,0.2351,2.31844,12.6166,2.44727,0.000286144,0.000286144,0.000286144
10,70.3415,2.07205,2.57779,1.99958,0.48987,0.32658,0.18428,0.09036,2.24379,6.80809,2.39714,0.000312284,0.000312284,0.000312284
11,76.8703,1.78528,2.70081,1.93276,0.15898,0.33333,0.08697,0.0431,2.52772,5.57003,3.17722,0.00033684,0.00033684,0.00033684
12,83.2565,1.87634,2.82883,1.90757,0.15898,0.33333,0.08697,0.0431,2.52772,5.57003,3.17722,0.000359812,0.000359812,0.000359812
13,89.8623,1.54487,2.4442,1.75364,0.95075,0.33333,0.34467,0.2051,2.52804,4.66873,3.4746,0.0003812,0.0003812,0.0003812
14,96.4819,1.71335,2.29833,1.82574,0.81906,0.33333,0.40871,0.21311,2.5733,4.26177,4.07184,0.000401004,0.000401004,0.000401004
15,103.067,1.66134,2.44093,1.92374,0.81906,0.33333,0.40871,0.21311,2.5733,4.26177,4.07184,0.000419224,0.000419224,0.000419224
16,109.589,1.68473,2.59983,1.90001,0.4559,0.66667,0.57441,0.16913,2.69863,3.71908,3.46494,0.00043586,0.00043586,0.00043586
17,116.142,1.74106,2.49744,1.87636,0.42059,0.33333,0.40255,0.09405,2.78939,3.26408,3.40448,0.000450912,0.000450912,0.000450912
18,122.599,1.68981,1.97711,1.76879,0.42059,0.33333,0.40255,0.09405,2.78939,3.26408,3.40448,0.00046438,0.00046438,0.00046438
19,129.175,1.65417,2.30368,1.73758,0.66265,0.65864,0.57975,0.09494,2.36641,3.40777,2.69245,0.000476264,0.000476264,0.000476264
